record_id,source_id,taxon,parasite,assay_stage,endpoint,outcome_family,descriptive_numeric_resolution,source_level_verified,pooling_decision,pooling_gate_failures,decision_basis
P001,annua-leishmania,Artemisia annua,Leishmania donovani,promastigote,in vitro IC50,concentration_or_dose_effect,partial_numeric,yes,descriptive_only_not_poolable,independent replication; matched taxon/preparation/stage/outcome/unit; dispersion or variance,No complete cross-study set satisfying the prespecified pooling gates is documented in the frozen extraction; retain as a descriptive result.
P002,annua-leishmania,Artemisia annua,Leishmania donovani,intracellular amastigote,in vitro IC50,concentration_or_dose_effect,partial_numeric,yes,descriptive_only_not_poolable,independent replication; matched taxon/preparation/stage/outcome/unit; dispersion or variance,No complete cross-study set satisfying the prespecified pooling gates is documented in the frozen extraction; retain as a descriptive result.
P003,annua-leishmania,Artemisia annua,Leishmania donovani,in vivo BALB/c mouse,liver and spleen parasite burden,organismal_efficacy,partial_numeric,yes,descriptive_only_not_poolable,independent replication; matched taxon/preparation/stage/outcome/unit; dispersion or variance,No complete cross-study set satisfying the prespecified pooling gates is documented in the frozen extraction; retain as a descriptive result.
P004,campestris-herba-alba-leishmania,Artemisia campestris,Leishmania infantum,promastigote,in vitro IC50,concentration_or_dose_effect,numeric,yes,descriptive_only_not_poolable,independent replication; matched taxon/preparation/stage/outcome/unit; dispersion or variance,No complete cross-study set satisfying the prespecified pooling gates is documented in the frozen extraction; retain as a descriptive result.
P005,campestris-herba-alba-leishmania,Artemisia herba-alba,Leishmania infantum,promastigote,in vitro IC50,concentration_or_dose_effect,numeric,yes,descriptive_only_not_poolable,independent replication; matched taxon/preparation/stage/outcome/unit; dispersion or variance,No complete cross-study set satisfying the prespecified pooling gates is documented in the frozen extraction; retain as a descriptive result.
P006,abyssinica-leishmania,Artemisia abyssinica,Leishmania donovani; L. aethiopica,promastigote and axenic amastigote,MIC and EC50,concentration_or_dose_effect,numeric,yes,descriptive_only_not_poolable,independent replication; matched taxon/preparation/stage/outcome/unit; dispersion or variance,No complete cross-study set satisfying the prespecified pooling gates is documented in the frozen extraction; retain as a descriptive result.
P007,campestris-helminth,Artemisia campestris,Haemonchus contortus; Heligmosomoides polygyrus,"egg hatch, adult motility, and in vivo rodent nematode model",in vitro egg hatch/adult motility and in vivo worm-count reduction,concentration_or_dose_effect,numeric,yes,descriptive_only_not_poolable,independent replication; matched taxon/preparation/stage/outcome/unit; dispersion or variance,No complete cross-study set satisfying the prespecified pooling gates is documented in the frozen extraction; retain as a descriptive result.
P008,gilvescens-mosquito,Artemisia gilvescens,Anopheles anthropophagus,larval mosquito,larval mortality,arthropod_or_worm_lethality,partial_numeric,yes,descriptive_only_not_poolable,independent replication; matched taxon/preparation/stage/outcome/unit; dispersion or variance,No complete cross-study set satisfying the prespecified pooling gates is documented in the frozen extraction; retain as a descriptive result.
P009,vestita-maritima-helminth,Artemisia vestita; Artemisia maritima,Haemonchus contortus,infective L3 and adult worms; sheep fecal egg count,in vitro and in vivo anthelmintic activity,organismal_efficacy,partial_numeric,yes,descriptive_only_not_poolable,independent replication; matched taxon/preparation/stage/outcome/unit; dispersion or variance,No complete cross-study set satisfying the prespecified pooling gates is documented in the frozen extraction; retain as a descriptive result.
P010,ethiopian-trypanosome,Artemisia absinthium; A. abyssinica; A. afra; A. annua,Trypanosoma brucei brucei,bloodstream forms,in vitro inhibition,concentration_or_dose_effect,numeric,yes,descriptive_only_not_poolable,independent replication; matched taxon/preparation/stage/outcome/unit; dispersion or variance,No complete cross-study set satisfying the prespecified pooling gates is documented in the frozen extraction; retain as a descriptive result.
P011,indica-antiprotozoal,Artemisia indica,Plasmodium falciparum; Trypanosoma brucei; Trypanosoma cruzi,blood-stage and bloodstream protozoan in vitro,in vitro parasite inhibition,concentration_or_dose_effect,numeric,yes,descriptive_only_not_poolable,independent replication; matched taxon/preparation/stage/outcome/unit; dispersion or variance,No complete cross-study set satisfying the prespecified pooling gates is documented in the frozen extraction; retain as a descriptive result.
P012,scoparia-callus-leishmania,Artemisia scoparia,Leishmania tropica,promastigote,in vitro inhibition,concentration_or_dose_effect,numeric,yes,descriptive_only_not_poolable,independent replication; matched taxon/preparation/stage/outcome/unit; dispersion or variance,No complete cross-study set satisfying the prespecified pooling gates is documented in the frozen extraction; retain as a descriptive result.
P013,gorgonum-antiplasmodial,Artemisia gorgonum,Plasmodium falciparum FcB1,erythrocytic culture,purified-compound IC50,concentration_or_dose_effect,partial_numeric,yes,descriptive_only_not_poolable,independent replication; matched taxon/preparation/stage/outcome/unit; dispersion or variance,No complete cross-study set satisfying the prespecified pooling gates is documented in the frozen extraction; retain as a descriptive result.
P014,absinthium-cuba-leishmania,Artemisia absinthium,Leishmania amazonensis,promastigote and amastigote,in vitro inhibition; mouse cutaneous model,concentration_or_dose_effect,partial_numeric,yes,descriptive_only_not_poolable,independent replication; matched taxon/preparation/stage/outcome/unit; dispersion or variance,No complete cross-study set satisfying the prespecified pooling gates is documented in the frozen extraction; retain as a descriptive result.
P015,absinthium-ovine-nematodes,Artemisia absinthium,ovine gastrointestinal nematodes,adult Haemonchus contortus in vitro; naturally infected sheep in vivo,paralysis/death in vitro,organismal_efficacy,numeric,yes,descriptive_only_not_poolable,independent replication; matched taxon/preparation/stage/outcome/unit; dispersion or variance,No complete cross-study set satisfying the prespecified pooling gates is documented in the frozen extraction; retain as a descriptive result.
P016,absinthium-selective-nematocidal-oils,Artemisia absinthium,Trichinella spiralis; Meloidogyne javanica,L1 infectivity ex vivo; intestinal adults in vivo; plant-parasitic nematode comparison,L1 infectivity ex vivo; intestinal adults in vivo; plant-parasitic nematode comparison,life_stage_assay,numeric,yes,descriptive_only_not_poolable,independent replication; matched taxon/preparation/stage/outcome/unit; dispersion or variance,No complete cross-study set satisfying the prespecified pooling gates is documented in the frozen extraction; retain as a descriptive result.
P017,absinthium-wormwood-lambs,Artemisia absinthium,Haemonchus contortus,ovine lambs; H. contortus eggs,in vitro egg-hatch,concentration_or_dose_effect,numeric,yes,descriptive_only_not_poolable,independent replication; matched taxon/preparation/stage/outcome/unit; dispersion or variance,No complete cross-study set satisfying the prespecified pooling gates is documented in the frozen extraction; retain as a descriptive result.
P018,absinthium-swine-parasites,Artemisia absinthium,gastrointestinal parasites in swine,swine gastrointestinal parasite and protozoan outcomes,swine gastrointestinal parasite and protozoan outcomes,other_or_unresolved,numeric,yes,descriptive_only_not_poolable,independent replication; matched taxon/preparation/stage/outcome/unit; dispersion or variance,No complete cross-study set satisfying the prespecified pooling gates is documented in the frozen extraction; retain as a descriptive result.
P019,absinthium-awassi-nematodes,Artemisia absinthium,gastrointestinal nematodes in Awassi sheep,day 0/7/15 FECRT,day 0/7/15 FECRT,organismal_efficacy,numeric,yes,descriptive_only_not_poolable,independent replication; matched taxon/preparation/stage/outcome/unit; dispersion or variance,No complete cross-study set satisfying the prespecified pooling gates is documented in the frozen extraction; retain as a descriptive result.
P020,annua-whole-plant-resistance,Artemisia annua,Plasmodium yoelii; Plasmodium chabaudi,blood-stage rodent malaria and resistance evolution,blood-stage rodent malaria and resistance evolution,mechanistic_or_exposure,not_extractable,yes,descriptive_only_not_poolable,independent replication; matched taxon/preparation/stage/outcome/unit; dispersion or variance,No complete cross-study set satisfying the prespecified pooling gates is documented in the frozen extraction; retain as a descriptive result.
P021,annua-whole-leaf-flavonoid,Artemisia annua,Plasmodium falciparum Dd2,intraerythrocytic parasite growth and initial cytocidal action,antiplasmodial efficacy and rate of kill,other_or_unresolved,numeric,yes,descriptive_only_not_poolable,independent replication; matched taxon/preparation/stage/outcome/unit; dispersion or variance,No complete cross-study set satisfying the prespecified pooling gates is documented in the frozen extraction; retain as a descriptive result.
P022,annua-led-antimalarial,Artemisia annua,Plasmodium falciparum NF54,in-vitro parasite growth inhibition,parasite growth inhibition,concentration_or_dose_effect,numeric,yes,descriptive_only_not_poolable,independent replication; matched taxon/preparation/stage/outcome/unit; dispersion or variance,No complete cross-study set satisfying the prespecified pooling gates is documented in the frozen extraction; retain as a descriptive result.
P023,absinthium-schistosoma,Artemisia absinthium,Schistosoma mansoni,adult-worm in-vitro assay,adult-worm mortality,concentration_or_dose_effect,numeric,yes,descriptive_only_not_poolable,independent replication; matched taxon/preparation/stage/outcome/unit; dispersion or variance,No complete cross-study set satisfying the prespecified pooling gates is documented in the frozen extraction; retain as a descriptive result.
P024,absinthium-nanocochleate-leishmania,Artemisia absinthium,Leishmania amazonensis,parasite IC50 and lesion/parasite-load suppression,EO-nanocochleate parasite IC50 21.5 +/- 2.5 microgram/mL; macrophage IC50 27.7 +/- 5.6 microgram/mL; approximately 50% in-vivo suppression at 30 mg/kg intralesional,concentration_or_dose_effect,partial_numeric,yes,descriptive_only_not_poolable,independent replication; matched taxon/preparation/stage/outcome/unit; dispersion or variance,No complete cross-study set satisfying the prespecified pooling gates is documented in the frozen extraction; retain as a descriptive result.
P025,annua-extract-pk-synergy-2026,Artemisia annua,Plasmodium falciparum Pf3D7; Plasmodium yoelii,in-vitro parasite growth and rodent blood-stage malaria,"parasite growth, ED50/ED90, and artemisinin exposure",concentration_or_dose_effect,partial_numeric,yes,descriptive_only_not_poolable,independent replication; matched taxon/preparation/stage/outcome/unit; dispersion or variance,No complete cross-study set satisfying the prespecified pooling gates is documented in the frozen extraction; retain as a descriptive result.
P026,annua-chrysosplenetin-resistance-2025,Artemisia annua,Plasmodium berghei K173,"rodent survival, parasitemia, inhibition, redox and resistance-associated host-response endpoints","survival, parasitemia, inhibition, redox and resistance-associated host responses",concentration_or_dose_effect,partial_numeric,yes,descriptive_only_not_poolable,independent replication; matched taxon/preparation/stage/outcome/unit; dispersion or variance,No complete cross-study set satisfying the prespecified pooling gates is documented in the frozen extraction; retain as a descriptive result.
P027,absinthium-european-tinctures-2025,Artemisia absinthium,Haemonchus contortus; Strongyloides papillosus,L1-2 and L3 larval viability,larval viability,life_stage_assay,partial_numeric,yes,descriptive_only_not_poolable,independent replication; matched taxon/preparation/stage/outcome/unit; dispersion or variance,No complete cross-study set satisfying the prespecified pooling gates is documented in the frozen extraction; retain as a descriptive result.
P028,afra-annua-metabolomics-malaria-2025,Artemisia annua; Artemisia afra,Plasmodium falciparum,in-vitro trophozoite response,extract-associated parasite metabolic response,other_or_unresolved,not_extractable,yes,descriptive_only_not_poolable,independent replication; matched taxon/preparation/stage/outcome/unit; dispersion or variance,No complete cross-study set satisfying the prespecified pooling gates is documented in the frozen extraction; retain as a descriptive result.
P029,annua-natural-combination-malaria-2018,Artemisia annua,Plasmodium yoelii; Plasmodium berghei,murine blood-stage malaria,parasitemia reduction and artemisinin exposure,concentration_or_dose_effect,partial_numeric,yes,descriptive_only_not_poolable,independent replication; matched taxon/preparation/stage/outcome/unit; dispersion or variance,No complete cross-study set satisfying the prespecified pooling gates is documented in the frozen extraction; retain as a descriptive result.
P030,herba-alba-judaica-ascaridia-2026,Artemisia herba-alba; Artemisia judaica,Ascaridia galli,adult-worm in vitro plus infected-chick in vivo,"motility, female fecundity, fecal egg count, worm burden, and docking hypotheses",organismal_efficacy,numeric,yes,descriptive_only_not_poolable,independent replication; matched taxon/preparation/stage/outcome/unit; dispersion or variance,No complete cross-study set satisfying the prespecified pooling gates is documented in the frozen extraction; retain as a descriptive result.
P031,annua-top-down-synergy-2024,Artemisia annua,Plasmodium falciparum; Plasmodium yoelii,"in-vitro parasite growth, murine blood-stage malaria, and rat pharmacokinetics","parasite growth, ED50, artemisinin AUC0-t, and component-enhancement hypothesis",concentration_or_dose_effect,numeric,yes,descriptive_only_not_poolable,independent replication; matched taxon/preparation/stage/outcome/unit; dispersion or variance,No complete cross-study set satisfying the prespecified pooling gates is documented in the frozen extraction; retain as a descriptive result.
P032,annua-haemonchus-sheep-2014,Artemisia annua,Haemonchus contortus and mixed ovine gastrointestinal nematodes,in-vitro H. contortus plus naturally infected Santa Ines sheep,"egg hatch, larval development, fecal egg count, hematocrit, artemisinin exposure",concentration_or_dose_effect,numeric,yes,descriptive_only_not_poolable,independent replication; matched taxon/preparation/stage/outcome/unit; dispersion or variance,No complete cross-study set satisfying the prespecified pooling gates is documented in the frozen extraction; retain as a descriptive result.
P033,brevifolia-anthelmintic-sheep-2004,Artemisia brevifolia,Haemonchus contortus and mixed gastrointestinal nematodes,in-vitro H. contortus and ovine in vivo,worm paralysis/mortality and fecal egg count,arthropod_or_worm_lethality,numeric,yes,descriptive_only_not_poolable,independent replication; matched taxon/preparation/stage/outcome/unit; dispersion or variance,No complete cross-study set satisfying the prespecified pooling gates is documented in the frozen extraction; retain as a descriptive result.
P034,herba-alba-haemonchus-crude-extract-2020,Artemisia herba-alba,Haemonchus contortus,adult worms in vitro; eggs in vitro,adult motility and egg-hatch inhibition,life_stage_assay,numeric,yes,descriptive_only_not_poolable,independent replication; matched taxon/preparation/stage/outcome/unit; dispersion or variance,No complete cross-study set satisfying the prespecified pooling gates is documented in the frozen extraction; retain as a descriptive result.
P035,annua-ancient-preparation-malaria-2010,Artemisia annua,Plasmodium falciparum; Plasmodium berghei,in-vitro Pf growth; infected-mouse P. berghei,antiplasmodial activity and parasitemia suppression,organismal_efficacy,numeric,yes,descriptive_only_not_poolable,independent replication; matched taxon/preparation/stage/outcome/unit; dispersion or variance,No complete cross-study set satisfying the prespecified pooling gates is documented in the frozen extraction; retain as a descriptive result.
