record_id,material_or_product,active_or_marker,source,what_is_supported,what_is_not_supported,required_next_evidence
S001,Artemisia absinthium herbal material,thujone,EMA/HMPC/751490/2016,thujone amount must be specified and daily exposure kept below the monograph limit of 6.0 mg,does not define safety of every wormwood chemotype or essential oil; not a parasite-efficacy claim,quantified product assay and product-specific exposure assessment
S002,WHO-recommended antimalarial treatment,artemisinin derivative plus partner drug,WHO malaria treatment guidance,ACTs are the recommended treatment framework for confirmed malaria and use an artemisinin derivative with a partner drug,does not support teas tablets capsules or crude Artemisia material for malaria treatment or prevention,quality-assured clinical treatment and resistance surveillance
S003,Artemisia annua leaf essential oil,whole-oil mixture,Islamuddin et al. 2014,study-specific in vitro/in vivo Leishmania findings with reported host controls,does not establish human dose clinical efficacy or camphor-only causality,standardized formulation pharmacokinetics and clinical safety
S004,Artemisia essential oils,thujone and other volatile constituents,preparation-specific review evidence,chemotype and preparation must be reported before translation,does not justify pooling oils or inferring safety from another species or extraction method,validated chemical assay toxicology and exposure modeling
S005,Artemisia annua tea and dried-leaf preparations,artemisinin plus extract phytochemicals affecting CYP2B6/CYP3A4,artemisia-tea-cyp450-2022; annua-dla-cyp-bioavailability-2020,tea and dried-leaf matrix can inhibit CYP activity and alter artemisinin exposure in human microsomes and rodents,does not identify the responsible constituent or define a safe human dose; exposure findings are not clinical efficacy,product-specific chemical fingerprinting and human pharmacokinetic/drug-interaction assessment
S006,Artemisia annua traditional tea,artemisinin exposure,annua-tea-pk-2004,human volunteer study quantified artemisinin exposure after a defined 9-g dried-leaf tea preparation,does not establish tea as equivalent to modern artemisinin drugs or support self-treatment,quality-assured product testing and controlled clinical evidence
S007,Artemisia absinthium extract,repeated-dose toxicology,absinthium-repeated-dose-toxicity-2003,13-week rat study reported no obvious treatment-related toxicity at 0.125-2% extract and estimated a study-specific NOAEL at or above 1.27 g/kg/day in males and 2.06 g/kg/day in females,does not establish human safety or cover thujone-rich chemotypes and essential oils,quantified thujone exposure and species-appropriate toxicokinetic and clinical safety studies
S008,Artemisia absinthium essential oils,alpha- and beta-thujone plus chemotype markers,absinthium-authenticated-commercial-oils-2025,"authenticated and commercial oils showed substantial composition variability and thujone-associated insect behavioral and toxicity endpoints","does not define human exposure limits or prove vermifuge selectivity","lot-specific GC-MS authentication, thujone quantitation, and mammalian toxicokinetics"
S009,Artemisia absinthium essential oil and extracts,trans-sabinyl acetate and low-thujone profile,absinthium-low-thujone-2026,"a low-thujone oil had negligible trans-thujone in the reported sample and was chemically distinct from thujone-rich products","does not make all wormwood oils low-thujone or establish safety at therapeutic doses","independent lot authentication and dose/exposure-linked mammalian safety studies"
S010,Artemisia spp. plant material,artemisinin analytical marker,artemisia-lcms-artemisinin-validation-2022,"validated LC-MS quantitation can detect low artemisinin and identify likely contamination or misattribution in Artemisia material","does not establish efficacy or certify botanical identity and potency beyond the measured analyte","voucher-linked multi-analyte quality control and chain-of-custody testing"
S011,Artemisia absinthium essential oil,cis-davanone and regional volatile profile,absinthium-saudi-oil-2022,"one Saudi oil showed a defined volatile profile and low cytotoxicity in the reported assays","does not establish species-wide safety or extrapolate cell-assay findings to oral human use or anthelmintic selectivity","lot-specific composition plus mammalian exposure and repeated-dose studies"
