pmid,title,decision,evidence_scope,exclusion_reason,source_record_retained
15381410,Biosynthesis of the irregular monoterpene artemisia ketone the sesquiterpene germacrene D and other isoprenoids in Tanacetum vulgare L. (Asteraceae).,exclude_out_of_scope,non-Artemisia comparative background,"Useful biochemical context but the sampled species is Tanacetum vulgare, not Artemisia; do not count as Artemisia evidence.",no
25735374,Anti-cancer properties of a sesquiterpene lactone-bearing fraction from Artemisia khorassanica.,exclude_non_antiparasitic_context,sesquiterpene-lactone fraction and mammalian cytotoxicity,Relevant safety/biology context but cancer-only outcome adds no direct antiparasitic evidence to this review question.,no
41241305,Artemisinin attenuates quinolinic acid-induced neurotoxicity by suppressing neuroinflammatory and apoptotic gene expression in rats.,exclude_non_antiparasitic_context,artemisinin safety and neurobiology context,The abstract addresses a neurotoxicity model rather than terpene chemistry or antiparasitic efficacy; retain only for safety context if needed.,no
41643954,Mechanistic insights and functional evaluation of an Artemisia annua essential oil nanoemulsion for antibacterial topical application against Staphylococcus aureus.,exclude_non_antiparasitic_context,A. annua oil formulation and antibacterial assay,"The primary endpoint is bacterial activity, not parasite activity; retain only as formulation context.",no
40116969,Engineering scutellarin biosynthesis in Artemisia annua.,exclude_non_terpene_context,A. annua flavonoid pathway engineering,"The abstract concerns scutellarin, a flavonoid, without a direct terpene or parasite endpoint; retain only as a cross-pathway context record if needed.",no
30556010,The jasmonate-responsive transcription factor CbWRKY24 regulates terpenoid biosynthetic genes to promote saponin biosynthesis in Conyza blinii H. Lév.,exclude_non_Artemisia_context,comparative Asteraceae transcription-factor context,The study concerns Conyza rather than Artemisia and saponins rather than the target genus; retain only as clearly labeled comparative context if needed.,no
42483081,Antimalarial Activity of Methoxylated Flavonoid Fraction (Cirsimaritin-Dominated) from Artemisia kopetdaghensis in Plasmodium berghei-Infected Mice with in silico Analysis.,exclude_non_terpene_context,A. kopetdaghensis flavonoid fraction and murine malaria,Primary antimalarial study is relevant matrix context but its dominant fraction is flavonoid rather than terpene; retain separate from terpene efficacy claims.,no
25999119,Erratum to: The activity of the artemisinic aldehyde Δ11(13) reductase promoter is important for artemisinin yield in different chemotypes of Artemisia annua L.,exclude_out_of_scope,erratum to an already indexed artemisinin chemotype record,This record is a correction notice rather than an independent evidence study; retain the underlying article as the evidence source and do not double count.,yes
37959876,"RETRACTED: Agrawal et al. Artemisia Extracts and Artemisinin-Based Antimalarials for COVID-19 Management: Could These Be Effective Antivirals for COVID-19 Treatment? Molecules 2022, 27, 3828.",exclude_out_of_scope,retracted review record,The record is explicitly retracted and cannot contribute evidence; preserve the retraction status for auditability.,yes
28350868,Correction: Quantification of santonin in eight species of Artemisia from Kazakhstan by means of HPLC-UV: Method development and validation.,exclude_out_of_scope,completion title/abstract pass; full-text eligibility remains open,"Correction, erratum, or retraction notice; retain the linked primary record where available and do not double count evidence.",yes
30323325,Author Correction: Expression of key genes affecting artemisinin content in five Artemisia species.,exclude_out_of_scope,completion title/abstract pass; full-text eligibility remains open,"Correction, erratum, or retraction notice; retain the linked primary record where available and do not double count evidence.",yes
32781664,RETRACTED: Chamazulene-Rich Artemisia arborescens Essential Oils Affect the Cell Growth of Human Melanoma Cells.,exclude_out_of_scope,completion title/abstract pass; full-text eligibility remains open,"Correction, erratum, or retraction notice; retain the linked primary record where available and do not double count evidence.",yes
32495516,Erratum to Simultaneous determination of artemisinin and its analogues and flavonoids in Artemisia annua crude extracts with the use of NMR spectroscopy.,exclude_out_of_scope,completion title/abstract pass; full-text eligibility remains open,"Correction, erratum, or retraction notice; retain the linked primary record where available and do not double count evidence.",yes
38844757,Author Correction: Bioprospecting of Artemisia genus: from artemisinin to other potentially bioactive compounds.,exclude_out_of_scope,completion title/abstract pass; full-text eligibility remains open,"Correction, erratum, or retraction notice; retain the linked primary record where available and do not double count evidence.",yes
38230759,Correction: Future antimalarials from Artemisia? A rationale for natural product mining against drug-refractory Plasmodium stages.,exclude_out_of_scope,completion title/abstract pass; full-text eligibility remains open,"Correction, erratum, or retraction notice; retain the linked primary record where available and do not double count evidence.",yes
40797246,Correction: Assessment of the in vitro activity and selectivity of Artemisia afra and Artemisia annua aqueous extracts against artemisinin-resistant Plasmodium falciparum.,exclude_out_of_scope,completion title/abstract pass; full-text eligibility remains open,"Correction, erratum, or retraction notice; retain the linked primary record where available and do not double count evidence.",yes
